ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
57576162,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,VBCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576163,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,VBCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576164,MT,IP-19RW20007-JHM-1,TESLA,HONDA MOTOR CO,HONDA MOTOR CO LTD,,E6*2007/46*0265*03,RW,RW201,1,HONDA,CR-V,M1,M1,1,2150,1727,151,178,2662,1601,1629,PETROL,M,1498,127,,,,,,,P,2021,,,
57576165,MT,IP-050054-KNA-01,KIA,KIA,KIA CORPORATION,,E5*2007/46*1078*03,JA,F5PB1,M55DZ1,KIA,PICANTO,M1,M1,1,1415,1131,108,123,2400,1390,1402,PETROL,M,1197,62,,,,,,,P,2021,,,
57576166,MT,IP-132019518-JMZ-1,MAZDA-SUBARU-SUZUKI-TOYOTA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*2041*07,DM,6WE,ACW0CB,MAZDA,CX-30,M1,M1,1,1957,1598,88,101,2655,1565,1565,PETROL,H,1998,90,,E13 28,,0.6,,,P,2021,,,
57576167,MT,IP-201953615D-YV1-1,,VOLVO,VOLVO CAR CORPORATION,,E9*2007/46*3146*09,X,XZ15,XZ15VDO?,VOLVO,XC40,M1,M1,1,2120,1728,147,166,2702,1601,1626,PETROL,M,1477,120,,,,,,,P,2021,,,
57576168,MT,IP-MQB37SZ_B1_0279-VSS-1,VW-SAIC,SEAT,SEAT SA,,E9*2007/46*6394*21,5FP,XDPCAX0,FD7SFD7CW0024BFVL1C19BC,SEAT,ATECA,M1,M1,1,1920,1573,124,161,2621,1572,1537,PETROL,M,1498,110,,,,,,,P,2021,,,
57576169,MT,IP-HNS___ATN85442-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*12,U,P,HNSSJ1BC00,PEUGEOT,208,M1,M1,1,1630,1348,103,123,2540,1500,1500,PETROL,M,1199,96,,E2 28 29,,2,,,P,2021,,,
57576170,MT,IP-YHTMB6611D-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0624*10,E,C,YHT2A2C200,CITROEN,BERLINGO,M1,M1,1,2120,1694,109,137,2785,1563,1577,DIESEL,M,1499,75,,E2 29,,1.2,,,P,2021,,,
57576171,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,V/BCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576172,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,V/BCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576173,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,V/BCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576174,MT,IP-HNP___MB6F2427-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0405*27,L,P,HNPJC12100,PEUGEOT,308,M1,M1,1,1735,1324,101,125,2620,1563,1557,PETROL,M,1199,81,,,,,,,P,2021,,,
57576175,MT,IP-HNS___MB6_5420-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*12,U,S,HNSKR1B700,PEUGEOT,2008,M1,M1,1,1715,1350,103,124,2605,1550,1550,PETROL,M,1199,96,,E2  28 29,,2,,,P,2021,,,
57576176,MT,IP-19_RU1_0006-JHM-1,TESLA,HONDA MOTOR CO,HONDA MOTOR CO LTD,,E6*2007/46*0158*06,RU,RU104,4,HONDA,HRV,M1,M1,1,1790,1410,122,153,2610,1535,1540,PETROL,M,1498,96,,,,,,,P,2021,,,
57576177,MT,IP-2019_1432-WDB-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2007/46*1909*09,F2B,OHH7T2,FZAA150C,MERCEDES BENZ,GLA 200,M1,M1,1,2010,1600,130,150,2729,1627,1619,PETROL,M,1332,120,,E1 29,,1.2,,,P,2021,,,
57576178,MT,IP-JDA1ADDTL4A002-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2001/116*0323*62,SR,DHD2,AD6AU1S0M0B0,DACIA,DUSTER,M1,M1,1,1855,1533,111,128,2673,1563,1570,DIESEL,M,1461,85,,E2 E2 29,,1,,,P,2021,,,
57576179,MT,IP-050605-KNA-1,KIA,KIA,KIA CORPORATION,,E5*2007/46*1077*04,YB,C5P81,M58DZ1,KIA,STONIC,M1,M1,1,1600,1288,123,137,2580,1531,1539,PETROL,M,1197,62,,E5 E5 29,,1,,,P,2021,,,
57576180,MT,IP-13_2017_010-JMZ-1,MAZDA-SUBARU-SUZUKI-TOYOTA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*1803*06,KF,6W7,AAW0,MAZDA,CX-5,M1,M1,1,2035,1680,150,173,2700,1595,1595,PETROL,M,1998,121,,,,,,,P,2021,,,
57576181,MT,IP-09-JN1-2018-0002,RENAULT-NISSAN-MITSUBISHI,NISSAN,NISSAN INTERNATIONAL SA,,E5*2007/46*1029*03,J11,A,A14,NISSAN,QASHQAI,M1,M1,1,1955,1560,100,139,2646,1560,1560,DIESEL,M,1461,85,,,,,,,P,2021,,,
57576182,MT,IP-F16A1RNP6TAY_00-JN1-1,RENAULT-NISSAN-MITSUBISHI,NISSAN,NISSAN INTERNATIONAL SA,,E9*2007/46*6697*01,F16,A,A02,NISSAN,JUKE,M1,M1,1,1700,1359,112,136,2636,1560,1552,PETROL,M,999,86,,,,,,,P,2021,,,
57576183,MT,IP-04-KMH-2018-0930,HYUNDAI,HYUNDAI,HYUNDAI MOTOR COMPANY,,E4*2007/46*1259*06,OS,F5E11,E11B11,HYUNDAI,KONA,M1,M1,1,2170,1892,0,0,2600,1564,1575,ELECTRIC,E,,150,147,,,,,,P,2021,,,
57576184,MT,IP-050049-KNA-01,KIA,KIA,KIA CORPORATION,,E5*2007/46*1078*03,JA,F5P81,M57DZ1,KIA,PICANTO,M1,M1,1,1400,1100,101,115,2400,1390,1402,PETROL,M,998,49,,,,,,,P,2021,,,
57576185,MT,IP-2019_2404-WDB-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2007/46*1909*04,F2B,OX1CT2,JZAA170A,MERCEDES BENZ,GLB 200 D,M1,M1,1,2390,1888,133,154,2829,1627,1607,DIESEL,M,1950,110,,,,,,,P,2021,,,
57576186,MT,IP-HNS___ATN85440-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*12,U,S,HNSSR1BC00,PEUGEOT,2008,M1,M1,1,1740,1385,109,136,2605,1550,1550,PETROL,M,1199,96,,E2  28 29,,2,,,P,2021,,,
57576187,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,VBCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576188,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,VBCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576189,MT,IP-MQB27ZZ_B0_0533-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1892*16,GB,SDLACF1,FD7FD7CW005RT11C184BIBEM,AUDI,A1 SPORTBACK,M1,M1,1,1676,1347,109,141,2550,1511,1490,PETROL,M,999,70,,E13 28 29,,2.1,,,P,2021,,,
57576190,MT,IP-YHZ__ATN83142-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0534*12,M,C,YHZRC2U000,PEUGEOT,3008,M1,M1,1,1990,1594,99,135,2675,1601,1610,DIESEL,M,1499,96,,E2 28 29,,1.4,,,P,2021,,,
57576191,MT,IP-HNK___ATN8544B-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*12,U,P,HNKSJ1BG00,PEUGEOT,208,M1,M1,1,1625,1319,99,123,2540,1500,1500,PETROL,M,1199,74,,E2  28 29,,2.1,,,P,2021,,,
57576192,MT,IP-HNK___ATN8544B-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*12,U,P,HNKSJ1BG00,PEUGEOT,208,M1,M1,1,1625,1319,99,123,2540,1500,1500,PETROL,M,1199,74,,E2  28 29,,2.1,,,P,2021,,,
57576193,MT,IP-9-WF0-2018-0007,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3142*11,JHH,XUJM1JX,5DCDZNABHAY,FORD,FIESTA,M1,M1,1,1680,1317,96,125,2493,1503,1466,DIESEL,M,1499,63,,E9 28 29,,2.1,,,P,2021,,,
57576194,MT,IP-050049-KNA-1,KIA,KIA,KIA CORPORATION,,E5*2007/46*1078*03,JA,F5P81,M57DZ1,KIA,PICANTO,M1,M1,1,1400,1100,101,115,2400,1390,1402,PETROL,M,998,49,,,,,,,P,2021,,,
57576195,MT,IP-20815P221PAA_01-SAL-1,TESLA,JAGUAR LAND ROVER LIMITED,JAGUAR LAND ROVER LIMITED,,E5*2007/46*0076*03,LZ,S5DC2L,B5FAC,LAND ROVER,RANGE ROVER EVOQUE,M1,M1,1,2660,2431,159,44,2681,1626,1632,PETROL/ELECTRIC,P,1498,147,159,,,,,,P,2021,,,55
57576196,MT,IP-MQB27ZZ_B0_0533-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1892*16,GB,SDLACF1,FD7FD7CW005RT11C184BIBEM,AUDI,A1 SPORTBACK,M1,M1,1,1675,1349,109,141,2550,1511,1490,PETROL,M,999,70,,E13 28 29,,2.1,,,P,2021,,,
57576197,MT,IP-YHY___MB6_5125-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*11,U,D,YHYJR2B200,PEUGEOT,2008,M1,M1,1,1731,1380,95,118,2605,1550,1550,DIESEL,M,1499,75,,,,,,,P,2021,,,
57576198,MT,IP-FEA1N1PDW5A_000-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0475*26,RFE,HF2,N1BUB1225000,RENAULT,KADJAR,M1,M1,1,1920,1545,126,144,2647,1562,1560,PETROL,M,1332,103,,E9 E9 29,,1.1,,,P,2021,,,
57576199,MT,IP-050531-NLH-1,HYUNDAI,HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE TICARET AS,,E5*2007/46*0090*01,AC3,B5P11,M53A11,HYUNDAI,I10,M1,M1,1,1410,1114,99,111,2425,1467,1478,PETROL,M,998,49,,,,,,,P,2021,,,
57576200,MT,IP-11-KNA-2018-0005,KIA,KIA,KIA CORPORATION,,E5*2007/46*1077*02,YB,C5P21,D71BZ1,KIA,STONIC,M1,M1,1,1670,1342,117,140,2580,1537,1544,PETROL,M,998,88,,E5 E5 29,,1,,,P,2021,,,
57576201,MT,IP-04-KNA-2018-1056,KIA,KIA,KIA CORPORATION,,E4*2007/46*1139*10,DE,C5P11,D61CZ1,KIA,NIRO,M1,M1,1,1930,1587,60,77,2700,1555,1569,PETROL,H,1580,77,,,,,,,P,2021,,,
57576202,MT,IP-03_BU_0233-1C4-1,STELLANTIS,CHRYSLER,FCA US LLC,,E3*2007/46*0300*30,BU,AXN1B,E13AD5,JEEP,RENEGADE,M1,M1,1,1860,1476,129,152,2570,1551,1553,PETROL,M,999,88,,,,,,,P,2021,,,
57576203,MT,IP-13_2019_518-JMZ-1,MAZDA-SUBARU-SUZUKI-TOYOTA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*2041*01,DM,6WE,ACW00,MAZDA,CX-30,M1,M1,1,1957,1657,88,106,2655,1565,1565,PETROL,H,1998,90,,,,,,,P,2021,,,
57576204,MT,IP-13_2019_518-JMZ-1,MAZDA-SUBARU-SUZUKI-TOYOTA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*2041*06,DM,6WE,ACW00,MAZDA,CX-30,M1,M1,1,1957,1657,88,106,2655,1565,1565,PETROL,H,1998,90,,,,,,,P,2021,,,
57576205,MT,IP-000198-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1688*10,G5L,JA92,DAW50000,BMW,530E IPERFORMANCE,M1,M1,1,2420,1941,36,32,2975,1604,1631,PETROL/ELECTRIC,P,1998,135,135,,,,,,P,2021,,,54
57576206,MT,IP-0018-JT1-1,MAZDA-SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2007/46*0344*02,XP13MA,NHP13MH,NHP130RCHXNBW4R,TOYOTA,YARIS HYBRID,M1,M1,1,1565,1265,59,76,2510,1485,1470,PETROL,H,1497,54,,,,,,,P,2021,,,
57576207,MT,IP-9-WF0-2018-0007,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3142*11,JHH,XUJM1JX,5DCDZNABHAY,FORD,FIESTA,M1,M1,1,1680,1303,96,124,2493,1508,1471,DIESEL,M,1499,63,,E9 28 29,,2.1,,,P,2021,,,
57576208,MT,IP-9-WF0-2018-0007,FORD,FORD MOTOR COMPANY,FORD MOTOR COMPANY,,E9*2007/46*3142*11,JHH,XUJM1JX,5DCDZNABHAY,FORD,FIESTA,M1,M1,1,1680,1303,96,124,2493,1508,1471,DIESEL,M,1499,63,,E9 28 29,,2.1,,,P,2021,,,
57576209,MT,IP-9-WF0-2018-0007,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3142*11,JHH,XUJM1JX,5DCDZNABHAY,FORD,FIESTA,M1,M1,1,1680,1303,96,124,2493,1508,1471,DIESEL,M,1499,63,,E9 28 29,,2.1,,,P,2021,,,
57576210,MT,IP-9-WF0-2018-0007,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3142*11,JHH,XUJM1JX,5DCDZNABHAY,FORD,FIESTA,M1,M1,1,1680,1303,96,124,2493,1508,1471,DIESEL,M,1499,63,,E9 28 29,,2.1,,,P,2021,,,
57576211,MT,IP-2020_536K9D-YV1-1,,VOLVO,VOLVO CAR CORPORATION,,E9*2007/46*3146*09,X,XZK9,XZK9VD0,VOLVO,XC40,M1,M1,1,2230,1883,101,116,2702,1601,1626,PETROL,H,1969,145,,,,,,,P,2021,,,
57576212,MT,IP-040924-KMH-1,HYUNDAI,HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE TICARET AS,,E4*2007/46*1259*05,OS,F5P11,M61A11,HYUNDAI,KONA,M1,M1,1,1775,1437,125,145,2600,1563,1572,PETROL,M,998,88,,E9 E9 29,,1.4,,,P,2021,,,
57576213,MT,IP-0000541-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1675*10,F2AT,6Y32,IAW50000,BMW,225XE IPERFORMANCE,M1,M1,1,2180,1876,41,37,2670,1557,1558,PETROL/ELECTRIC,P,1499,92,135,,,,,,P,2021,,,54
57576214,MT,IP-MQB27SZ_A1_0549-VSS-1,VW-SAIC,SEAT,SEAT SA,,E9*2007/46*3134*28,KJ,XDLAA,FD7SFD7CW0094BI3A1AAC,SEAT,ARONA,M1,M1,1,1700,1347,109,135,2552,1505,1485,PETROL,M,999,81,,E9 29,,1.1,,,P,2021,,,
57576215,MT,IP-050531-NLH-1,HYUNDAI,HYUNDAI,HYUNDAI MOTOR COMPANY,,E5*2007/46*0090*01,AC3,B5P11,M53A11,HYUNDAI,I10,M1,M1,1,1410,1130,104,120,2425,1467,1478,PETROL,M,998,49,,,,,,,P,2021,,,
57576216,MT,IP-03-BU_0233-1C4-1,STELLANTIS,CHRYSLER,FCA US LLC,,E3*2007/46*0300*30,BU,AXN1B,R13AD5,JEEP,RENEGADE,M1,M1,1,1860,1476,129,152,2570,1551,1553,PETROL,M,999,88,,,,,,,P,2021,,,
57576217,MT,IP-050054-KNA-01,KIA,KIA,KIA CORPORATION,,E5*2007/46*1078*02,JA,F5PB1,M55DZ1,KIA,PICANTO,M1,M1,1,1415,1131,108,123,2400,1390,1402,PETROL,M,1197,61,,,,,,,P,2021,,,
57576218,MT,IP-03_BU_0233-1C4-1,STELLANTIS,CHRYSLER,FCA US LLC,,E3*2007/46*0300*30,BU,AXN1B,E13AD5,JEEP,RENEGADE,M1,M1,1,1860,1476,129,152,2570,1551,1553,PETROL,M,999,88,,,,,,,P,2021,,,
57576219,MT,IP-03_312_0237-ZFA-1,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2007/46*0064*58,312,AXZ11,21J,FIAT,ABARTH 500,M1,M1,1,1435,1222,154,158,2300,1541,1408,PETROL,M,1368,121,,,,,,,P,2021,,,
57576220,MT,IP-0098-JT1-1,MAZDA-SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2007/46*0338*02,AX1T,ZYX11,ZYX11RAHXKBW,TOYOTA,C-HR,M1,M1,1,1860,1587,60,78,2640,1540,1560,PETROL,H,1798,72,,E6 28,,0.9,,,P,2021,,,
57576221,MT,IP-01-JMB-2018-0001,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS CORPORATION,,E1*2001/116*0406*33,CW0,GGP21,AVEJRRCD5DAAA,MITSUBISHI,OUTLANDER,M1,M1,1,2390,2117,40,46,2670,1540,1540,PETROL/ELECTRIC,P,2360,99,148,,,,,,P,2021,,,45
57576222,MT,IP-2019-2404-WDB-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2007/46*1909*09,F2B,OH1CT2,JZAA150A,MERCEDES BENZ,GLA 200 D,M1,M1,1,2135,1712,124,141,2729,1627,1619,DIESEL,M,1950,110,,E1 29,,1,,,P,2021,,,
57576223,MT,IP-JBA1M6PJT4A_000-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0684*08,RJB,HE2,M66UA1AA5200,RENAULT,CAPTUR,M1,M1,1,1734,1396,121,134,2639,1554,1541,PETROL,M,999,67,,E9  E9 29 28,,1.9,,,P,2021,,,
57576224,MT,IP-HNS_ATN85440-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*12,U,S,HNSSR1BC00,PEUGEOT,2008,M1,M1,1,1740,1385,109,136,2605,1550,1550,PETROL,M,1199,96,,E2  28 29,,2,,,P,2021,,,
57576225,MT,IP-11KNA-2018-0008,KIA,KIA,KIA CORPORATION,,E5*2007/46*1078*00,JA,F5P31,A41CZ1,KIA,PICANTO,M1,M1,1,1400,1072,136,148,2400,1406,1415,PETROL,M,1248,62,,,,,,,P,2021,,,
57576226,MT,IP-MQB27SZ_A1_0216-VSS-1,VW-SAIC,SEAT,SEAT SA,,E9*2007/46*3134*27,KJ,XDKRF,FD7SFD7CW0074BFA1AAD,SEAT,ARONA,M1,M1,1,1690,1343,111,135,2552,1505,1485,PETROL,M,999,85,,,,,,,P,2021,,,
57576227,MT,IP-F16A1RNP6TAY_00-JN1-1,RENAULT-NISSAN-MITSUBISHI,NISSAN,NISSAN INTERNATIONAL SA,,E9*2007/46*6697*03,F16,A,A02,NISSAN,JUKE,M1,M1,1,1700,1363,112,136,2636,1560,1552,PETROL,M,999,86,,,,,,,P,2021,,,
57576228,MT,IP-F16A1RNP6TAL_00-JN1-1,RENAULT-NISSAN-MITSUBISHI,NISSAN,NISSAN INTERNATIONAL SA,,E9*2007/46*6697*03,F16,A,A05,NISSAN,JUKE,M1,M1,1,1725,1382,110,139,2636,1560,1552,PETROL,M,999,86,,,,,,,P,2021,,,
57576229,MT,IP-0110-JT1-1,MAZDA-SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2007/46*0437*00,XPA1FEUM,MXPH11H,MXPH11RBHXNBW4A,TOYOTA,YARIS,M1,M1,1,1615,1297,48,86,2560,1520,1520,PETROL,H,1490,68,,E6 28,,0.8,,,P,2021,,,
57576230,MT,IP-JBA1MMP010A_000-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0684*09,RJB,HH2,MM4UA08A5010,RENAULT,CAPTUR,M1,M1,1,2060,1735,34,35,2639,1554,1541,PETROL/ELECTRIC,P,1598,68,137,E2  E2 33,,1.4,,,P,2021,,,51
57576231,MT,IP-0110-JT1-1,MAZDA-SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2007/46*0437*00,XPA1FEUM,MXPH11H,MXPH11RBHXNBW4A,TOYOTA,YARIS,M1,M1,1,1615,1297,48,86,2560,1520,1520,PETROL,H,1490,68,,E6 28,,0.8,,,P,2021,,,
57576232,MT,IP-F16A1RNP6TAY00-JT1-1,RENAULT-NISSAN-MITSUBISHI,NISSAN,NISSAN INTERNATIONAL SA,,E9*2007/46*6697*03,F16,A,A02,NISSAN,JUKE,M1,M1,1,1700,1387,118,142,2636,1560,1552,PETROL,M,999,86,,,,,,,P,2021,,,
57576233,MT,IP-MQB7SZA20567-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1552*18,GA,XDPCAF1,FD7FD7CW002RT11A174BIAEM,AUDI,Q2,M1,M1,1,1870,1496,116,138,2589,1547,1538,PETROL,M,1498,110,,E13 29,,1.1,,,P,2021,,,
57576234,MT,IP-0000426-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1688*12,G5L,32BL,IAA500L0,BMW,520D,M1,M1,1,2345,,76,,2975,1605,1630,DIESEL,H,1995,140,,,,,,,P,2021,,,
57576235,MT,IP-0000426-WBA-1,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E6*2007/46*0349*02,P,S,CFB7H1B000,CITROEN,C1,M1,M1,1,1240,1023,85,110,2340,1530,1420,PETROL,M,998,53,,E24 3  28,,0.6,,,P,2021,,,
57576236,MT,IP-033120208-ZFA-1,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2007/46*0064*56,312,AYD1B,E25BM,FIAT,500,M1,M1,1,1360,1154,62,83,2300,1415,1408,PETROL,H,999,51,,,,,,,P,2021,,,
57576237,MT,IP-033120208-ZFA-1,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2007/46*0064*56,312,AYD1B,E25BM,FIAT,500,M1,M1,1,1360,1660,62,84,2300,1415,1408,PETROL,H,999,52,,,,,,,P,2021,,,
57576238,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,VBCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576239,MT,IP-E4YV1-2018-0032,,VOLVO,VOLVO CAR CORPORATION,,E9*2007/46*3146*08,X,XZ72,XZ72VD0?,VOLVO,XC40,M1,M1,1,2180,1828,131,158,2702,1601,1626,DIESEL,M,1969,110,,,,,,,P,2021,,,
57576240,MT,IP-2019536BBF-YV1-1,,VOLVO,VOLVO CAR CORPORATION,,E9*2007/46*3146*09,X,XZBB,XZBBVF0?,VOLVO,XC40,M1,M1,1,2290,1952,41,49,2702,1601,1626,PETROL/ELECTRIC,P,1477,132,159,,,,,,P,2021,,,45
57576241,MT,IP-MQB37SZB10279-VSS-1,VW-SAIC,SEAT,SEAT SA,,E9*2007/46*6394*21,5FP,XDPCAX0,FD7SFD7CW0024BFVL1A18BC,SEAT,ATECA,M1,M1,1,1920,1547,121,154,2621,1572,1537,PETROL,M,1498,110,,,,,,,P,2021,,,
57576242,MT,IP-MQB27SZA10537-VSS-1,VW-SAIC,SEAT,SEAT SA,,E9*2007/46*3134*28,KJ,XDLAC,FM5SFM5DF0094BI3A1AAC,SEAT,ARONA,M1,M1,1,1660,1294,107,124,2552,1505,1485,PETROL,M,999,70,,,,,,,P,2021,,,
57576243,MT,IP13JN1-2017-0018,RENAULT-NISSAN-MITSUBISHI,NISSAN,NISSAN INTERNATIONAL SA,,E5*2007/46*1028*02,ME0M,B,B06,NISSAN,ENV200,M1,M1,1,2252,1877,0,0,2725,1530,1530,ELECTRIC,E,,80,259,,,,,,P,2021,,,
57576244,MT,IP-MQB27SZB30539-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E13*2007/46*1985*07,C1,DLAAACX05,FM6FM6AJ0214BIABAG,VOLKSWAGEN,T-CROSS,M1,M1,1,1750,1418,110,133,2551,1526,1508,PETROL,M,999,81,,,,,,,P,2021,,,
57576245,MT,IP-20815p221AA01-SAL-1,TESLA,JAGUAR LAND ROVER LIMITED,JAGUAR LAND ROVER LIMITED,,E5*2007/46*0076*03,LZ,S5DC2L,B5FAA,LAND ROVER,RANGE ROVER EVOQUE,M1G,M1G,1,2660,2431,43,44,2681,1626,1632,PETROL/ELECTRIC,P,1498,147,159,,,,,,P,2021,,,55
57576246,MT,IP-HMHMA55310-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*08,U,P,HMHDX1B100,OPEL,CORSA,M1,M1,1,1550,1196,93,125,2540,1490,1490,PETROL,M,1199,55,,,,,,,P,2021,,,
57576247,MT,IP-YHYMB61128-WOV-0,STELLANTIS,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,,E4*2007/46*1194*10,P7MONOCABC,EA071CC12,BA1VAFPG4A5,OPEL,CROSSLAND X,M1,M1,1,1835,1422,104,124,2604,1513,1491,DIESEL,M,1499,75,,,,,,,P,2021,,,
57576248,MT,IP-0022-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E6*2007/46*0350*02,P,S,CFB7W1B000,PEUGEOT,108,M1,M1,1,1240,1016,85,111,2340,1430,1420,PETROL,M,998,53,,,,,,,P,2021,,,
57576249,MT,IP-11NLH2018-0022,HYUNDAI,HYUNDAI,HYUNDAI MOTOR COMPANY,,E5*2007/46*1087*00,GB,B5P71,D71AZ1,HYUNDAI,I20 ACTIVE,M1,M1,1,1650,1305,111,127,2570,1520,1519,PETROL,M,998,73,,,,,,,P,2021,,,
